iter	Passed	Remaining
0	1110	554190
1	2082	518442
2	2987	494848
3	3899	483597
4	4747	470018
5	5731	471881
6	6529	459846
7	7293	448520
8	8272	451302
9	9042	443086
10	9869	438750
11	10703	435266
12	11508	431117
13	12309	427306
14	13083	423028
15	13860	419292
16	14671	416836
17	15476	414439
18	16294	412515
19	17076	409830
20	17874	407718
21	18642	405041
22	19447	403331
23	20208	400805
24	21006	399118
25	21797	397381
26	22609	396088
27	23381	394153
28	24175	392637
29	24956	390988
30	25747	389539
31	26549	388284
32	27327	386719
33	28102	385167
34	28875	383636
35	29670	382417
36	30463	381203
37	31215	379510
38	32013	378415
39	32827	377513
40	33606	376227
41	34387	374987
42	35168	373771
43	35962	372698
44	36792	372017
45	37606	371154
46	38441	370508
47	39248	369589
48	40041	368545
49	40799	367199
50	41600	366244
51	42385	365164
52	43153	363958
53	43966	363131
54	44849	362875
55	45750	362739
56	46614	362287
57	47513	362087
58	48369	361540
59	49266	361287
60	50109	360622
61	50930	359801
62	51782	359189
63	52534	357888
64	53302	356716
65	54087	355664
66	54830	354349
67	55602	353238
68	56362	352063
69	57121	350887
70	57878	349718
71	58615	348435
72	59307	346907
73	60065	345783
74	60799	344532
75	61530	343276
76	62333	342429
77	63114	341465
78	63854	340286
79	64600	339153
80	65366	338132
81	66106	336981
82	66840	335814
83	67566	334615
84	68295	333443
85	69034	332328
86	69767	331197
87	70518	330153
88	71233	328955
89	71979	327906
90	72716	326826
91	73450	325739
92	74179	324634
93	74921	323597
94	75669	322592
95	76402	321528
96	77136	320475
97	77855	319365
98	78594	318346
99	79349	317398
100	80091	316402
101	80835	315418
102	81588	314472
103	82343	313538
104	83095	312597
105	83855	311689
106	84605	310747
107	85350	309789
108	86104	308871
109	86855	307943
110	87607	307019
111	88352	306078
112	89101	305154
113	89854	304244
114	90586	303268
115	91420	302634
116	92168	301713
117	92933	300851
118	93699	299995
119	94437	299052
120	95159	298062
121	95897	297123
122	96638	296199
123	97392	295318
124	98142	294427
125	98888	293525
126	99650	292675
127	100410	291818
128	101145	290891
129	101956	290183
130	102701	289289
131	103451	288410
132	104192	287507
133	104942	286633
134	105679	285724
135	106464	284949
136	107220	284095
137	107943	283156
138	108693	282290
139	109451	281447
140	110170	280503
141	110928	279664
142	111654	278745
143	112401	277881
144	113133	276982
145	113886	276135
146	114633	275276
147	115367	274388
148	116111	273523
149	116822	272585
150	117570	271735
151	118311	270871
152	119058	270020
153	119800	269163
154	120530	268278
155	121270	267417
156	122021	266581
157	122751	265702
158	123491	264847
159	124236	264003
160	124978	263154
161	125722	262309
162	126475	261485
163	127211	260628
164	127954	259785
165	128690	258931
166	129453	258131
167	130207	257314
168	130944	256465
169	131676	255606
170	132427	254787
171	133176	253965
172	133900	253094
173	134628	252234
174	135358	251380
175	136114	250573
176	136841	249717
177	137577	248876
178	138337	248080
179	139080	247254
180	139828	246437
181	140555	245585
182	141292	244752
183	142030	243922
184	142770	243094
185	143513	242275
186	144247	241440
187	144989	240620
188	145730	239799
189	146476	238988
190	147218	238169
191	147959	237351
192	148704	236541
193	149443	235719
194	150176	234890
195	150907	234060
196	151638	233231
197	152375	232411
198	153115	231597
199	153894	230842
200	154626	230017
201	155358	229192
202	156093	228372
203	156833	227562
204	157568	226745
205	158285	225903
206	159032	225104
207	159789	224319
208	160566	223564
209	161422	222916
210	162179	222132
211	162915	221318
212	163682	220548
213	164441	219768
214	165272	219081
215	166060	218338
216	166851	217599
217	167610	216817
218	168341	216000
219	169139	215267
220	169931	214529
221	170697	213756
222	171443	212959
223	172187	212159
224	172937	211368
225	173695	210587
226	174429	209776
227	175246	209065
228	176002	208282
229	176719	207453
230	177509	206710
231	178495	206192
232	179474	205663
233	180239	204887
234	180973	204076
235	181717	203276
236	182744	202792
237	183470	201971
238	184222	201180
239	184949	200361
240	185689	199558
241	186434	198760
242	187181	197965
243	187907	197149
244	188659	196359
245	189390	195550
246	190124	194743
247	190853	193931
248	191593	193131
249	192318	192318
250	193060	191521
251	193811	190735
252	194561	189947
253	195308	189157
254	196036	188349
255	196792	187567
256	197548	186786
257	198277	185981
258	199042	185209
259	199779	184411
260	200540	183636
261	201248	182813
262	201990	182021
263	202730	181229
264	203463	180430
265	204212	179645
266	204947	178848
267	205681	178052
268	206438	177276
269	207176	176483
270	207910	175687
271	208674	174918
272	209411	174125
273	210152	173337
274	210903	172557
275	211695	171811
276	212454	171037
277	213191	170246
278	213930	169457
279	214701	168693
280	215453	167916
281	216191	167127
282	216934	166341
283	217672	165554
284	218427	164778
285	219168	163992
286	219911	163209
287	220670	162437
288	221410	161652
289	222144	160863
290	222905	160093
291	223622	159293
292	224364	158509
293	225098	157721
294	225846	156943
295	226597	156168
296	227324	155376
297	228086	154608
298	228838	153834
299	229573	153048
300	230305	152261
301	231043	151478
302	231819	150721
303	232541	149927
304	233325	149175
305	234064	148393
306	234800	147610
307	235529	146823
308	236272	146045
309	237010	145264
310	237750	144484
311	238490	143706
312	239205	142912
313	239917	142117
314	240614	141313
315	241322	140516
316	242042	139727
317	242761	138939
318	243481	138150
319	244198	137361
320	244914	136572
321	245671	135806
322	246381	135014
323	247081	134216
324	247792	133426
325	248494	132632
326	249200	131840
327	249913	131052
328	250618	130260
329	251322	129469
330	252056	128693
331	252779	127912
332	253490	127125
333	254208	126342
334	254920	125558
335	255637	124775
336	256361	123996
337	257063	123208
338	257793	122433
339	258502	121648
340	259212	120864
341	259935	120087
342	260657	119309
343	261356	118521
344	262068	117740
345	262775	116957
346	263479	116174
347	264211	115402
348	264938	114629
349	265653	113851
350	266392	113083
351	267141	112320
352	267844	111538
353	268570	110766
354	269266	109982
355	269985	109207
356	270694	108429
357	271418	107657
358	272116	106875
359	272828	106100
360	273557	105331
361	274274	104557
362	275035	103801
363	275770	103035
364	276489	102263
365	277199	101488
366	277914	100715
367	278624	99941
368	279339	99169
369	280059	98399
370	280765	97624
371	281468	96849
372	282175	96075
373	282876	95300
374	283598	94532
375	284312	93762
376	285019	92990
377	285771	92233
378	286475	91460
379	287180	90688
380	287907	89923
381	288644	89162
382	289351	88391
383	290098	87633
384	290876	86885
385	291614	86124
386	292326	85356
387	293054	84592
388	293775	83828
389	294487	83060
390	295195	82292
391	295932	81532
392	296656	80769
393	297393	80009
394	298117	79246
395	298841	78483
396	299566	77721
397	300291	76959
398	300982	76188
399	301704	75426
400	302429	74664
401	303126	73896
402	303870	73139
403	304595	72379
404	305328	71620
405	306039	70856
406	306762	70095
407	307469	69331
408	308190	68570
409	308922	67812
410	309655	67054
411	310376	66294
412	311128	65540
413	311868	64784
414	312579	64022
415	313290	63260
416	314020	62502
417	314727	61740
418	315421	60976
419	316130	60215
420	316864	59459
421	317586	58700
422	318317	57944
423	319024	57183
424	319744	56425
425	320450	55665
426	321164	54906
427	321879	54147
428	322581	53387
429	323294	52629
430	324022	51873
431	324753	51118
432	325472	50361
433	326179	49603
434	326903	48847
435	327613	48090
436	328357	47337
437	329064	46579
438	329782	45823
439	330484	45066
440	331214	44312
441	331995	43565
442	332732	42812
443	333453	42057
444	334179	41303
445	334914	40550
446	335636	39795
447	336324	39037
448	337066	38285
449	337760	37528
450	338479	36774
451	339209	36022
452	339980	35273
453	340735	34523
454	341434	33768
455	342179	33017
456	342872	32261
457	343610	31510
458	344331	30757
459	345047	30004
460	345771	29251
461	346487	28498
462	347215	27747
463	347956	26996
464	348689	26245
465	349370	25490
466	350069	24737
467	350796	23986
468	351531	23235
469	352244	22483
470	352990	21733
471	353695	20981
472	354395	20229
473	355125	19479
474	355843	18728
475	356570	17978
476	357285	17227
477	358004	16477
478	358717	15726
479	359417	14975
480	360135	14225
481	360841	13475
482	361561	12725
483	362269	11975
484	362981	11226
485	363693	10476
486	364394	9727
487	365108	8978
488	365805	8228
489	366526	7480
490	367245	6731
491	367973	5983
492	368676	5234
493	369393	4486
494	370172	3739
495	370894	2991
496	371622	2243
497	372354	1495
498	373069	747
499	373799	0
